project,file,line,uselib,libraries
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_peerreviewbusinesssegments.go,14,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_peerreviewplans.go,18,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_plans.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_region.go,64,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_regioncountrymap.go,38,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_riskevent.go,49,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_riskindicator.go,50,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_riskindicatormatrix.go,18,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/facade.go,96,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/actionplans.go,143,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/base.go,594,true,"github.com/eaciit/acl/v2.0, github.com/eaciit/dbox, github.com/eaciit/knot/knot.v1, github.com/eaciit/orm, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/ccupload.go,682,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/conduct.go,682,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/controlsconduct.go,72,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/dashboard.go,19,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/error.go,16,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/gia.go,417,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/init.go,16,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/login.go,54,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/page.go,298,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/peerreview.go,295,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/riskevent.go,1407,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/logic/riskindicator.go,459,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
